episode,episode_reward,episode_steps,success,collision,min_obstacle_distance,final_distance,q1_loss,q2_loss,policy_loss,alpha_loss,alpha,mean_log_prob,total_steps
139,31.616204328960308,600,0,0,1.7822856121180592,9.925834806381436,24.89554518063863,23.561702477931977,154.9936038208008,-0.14570929632211724,0.04376185642555356,2.953246188958486,80164
140,56.967986125733184,600,0,0,0.7649133002465294,8.347283267165867,25.504488796393076,25.416452995936076,153.95321821848552,-0.2938753651455045,0.042837039716541764,2.9066573184728624,80764
141,34.26725309074183,600,0,0,2.3985819617130892,9.856367275163104,25.027736732165017,24.45360153198242,153.17533599853516,-0.08408794682472945,0.04181818579634031,2.973481424252192,81364
142,38.40478024288184,600,0,0,1.1613064881373814,9.569472322727103,24.290551953315735,23.401792816321056,153.0538538869222,0.062395205919941264,0.04218294373402993,3.019517276287079,81964
143,30.60169712058429,600,0,0,0.8132536886352719,10.05464022627492,23.575914719899494,22.650842706362408,151.74030885060628,-0.1091566283473124,0.04150827561194698,2.9656276420752206,82564
144,-344.4434980701823,600,0,0,0.15739208588611603,9.331090875512148,23.601191741625467,22.527281866073608,150.69692728678385,0.015687695524344843,0.04110549325123429,3.0048591621716816,83164
145,33.1376423339544,600,0,0,0.8341445937364906,9.879040743773677,24.58976549466451,23.940029792785644,148.52324975331624,-0.13910204146678248,0.04069336030011376,2.956436570684115,83764
146,31.074765196817882,600,0,0,2.0155346910107768,9.947525857312977,23.612491798400878,23.726710446675618,147.9829883066813,-0.3996100559271872,0.038926554216692846,2.876641876300176,84364
147,-15.47635959213801,600,0,0,0.2838313931758881,7.408680656734226,23.789322640101116,23.80259240627289,147.0250267155965,-0.21205758694559335,0.036844477721800405,2.9353470063209532,84964
148,39.375252536899524,600,0,0,0.5524768185388518,9.110718292644206,23.26565346479416,23.085712749958038,147.31351243336997,-0.08156110709533096,0.03708418260638913,2.975259059667587,85564
149,-49.97710278126263,600,0,0,0.3973816410607054,9.175231229042685,22.752098328272503,23.278145523071288,149.04445943196615,-0.18921506707866986,0.03563791087518136,2.9430141121149065,86164
150,35.78185686718604,600,0,0,1.2182768482643138,9.641920518148833,23.839683386484783,24.376722051302593,145.69880795796712,0.14461454349880418,0.035879934436331196,3.0433711115519206,86764
151,35.92709338864674,600,0,0,3.9302131028495104,9.667630488617755,22.23498814026515,22.956590774854025,146.22241174062094,-0.016206128522753716,0.03575932441900174,2.995024479627609,87364
152,-558.4606942778057,583,0,1,-0.0022909757067613445,9.378786149757692,23.175408856537494,23.984077951715904,143.89576213437533,-0.12394662890231835,0.03595302739591173,2.962718632781485,87947
153,42.354247346059545,600,0,0,2.1682889693016145,9.200148560638622,27.16181712071101,25.13415982802709,144.2975179163615,0.3285137966151039,0.035870038239906234,3.0989201899369556,88547
154,35.42270379618747,600,0,0,2.8559791069523355,9.768492878119947,28.415411655108134,26.71303184668223,142.49353398640952,0.19394556681315103,0.037809499247620504,3.0590747551123303,89147
155,35.38689845303947,600,0,0,0.9016752847548968,9.667601616989156,26.006749721368156,26.028388419151305,143.11273544311524,-0.020135496693352857,0.03834304021671414,2.9937206610043843,89747
